Comment,Designator,Footprint,LCSC Part #,
,JP6,1X01,C81276,
,JP3,1X02,C492401,
,JP4,1X03,C24980,C180248
,JP2,1X06,C37208,
,JP1,1X07,C492406,
,JP7,2X03,C65114,
0,R10,603,,
0.1uF,C1 C2 C3 C4 C5 C6 C8 C10 C11 C28 C29,402,,
0.1uF,C14 C15 C16 C17 C18 C23,603,,
0.22uF,C13,603,,
1.0uF,C7 C9,402,,
1.0uF,C19 C20 C21,805,,
1KOHM-0402-1/16W-1%,R3,402,,
4.7k,R6 R7 R8 R9,603,,
4.7uF,C22 C24 C25 C26 C27,603,,
10k,R1 R2,402,,
10k,R4 R5,603,,
10uF,C12,603,,
22,R11 R12 R13 R14 R16 R17 R18,402,,
4525DO-DS5AI001DP,AIRSPEED,4525DO-DS...P,,
B4B-XH-A_LF__SN_,JST_CONNECTION,B4BXHALFSN,C144395,
BLM03AG601SN1D,L1 L2 L3 L4 L5 L6 L7 L8,IND_BLM03_0201_MUR,,
BMI085,IMU,BMI085,C194919,
DPS310XTSA1,BAROMETER,DPS310XTSA1,C130156,
ECMF02-4CMX8,USB_COMM_MODE_FILTER,MICRO_QFN-8L_STM,,
ECS-TXO-3225MV-400-TR,Y1,ECSTXO3225MV400TR,,
IIS2MDCTR,MAGNETOMETER,IIS2MDCTR,,
LD39050PU33R,POWER_MODULE,SON95P300X300X100-7N,,
LL3301FF065QJ,S1 S2,LL3301FF065QJ,C27352,
SAM-M8Q-0-10,GPS,SAMM8Q010,,
SML-P12VTT86,D1,LED_SML-P11UTT86R,C71911,
STM32L412RBT6P,MICROCONTROLLER,QFP50P1200X1200X160-64N,C1339033,
STPS1L30A,U$1,DIOM5226X223N,,
TPD4F003DQDR,U1,DQD8_1P2X0P4,,
